# ⛔ 마스터 아카이브 — 아카이빙 정본(평소 로드 금지). 수정(덮어쓰기)·삭제 = 사용자 이중 허락 필수 / 새 ID 추가·순서 정리는 무권한 OK. 절차: apps/k/00_지침 §10 · 라우터 CLAUDE.md §기틀 보호. ↓ 다음 줄 = 컬럼 헤더, 그 아래 = 데이터(불변)
ID	대분류	한국어명	영문명	기준	변수 역할	사용하면 좋은 상황	GPT Image 2용 삽입 지시문	Gemini용 삽입 지시문	추천 조합	피해야 할 조합	시각 효과	감정 효과	왜곡/실패 리스크	강도	유사어/검색어	Gemini_NanoBanana2_예시장면_참고용	Gemini_NanoBanana2_ChatGPT지시문	Gemini_NanoBanana2_Gemini키워드	Gemini_NanoBanana2_효과	Gemini_NanoBanana2_리스크	Gemini_NanoBanana2_유사어	Gemini_비교판정	Gemini_분리인덱스필요	Gemini_메모
H02	카메라 높이	하이앵글	High Angle	위에서 아래로 내려봄	높이/약화·관찰 변수	약함, 위축, 관찰, 귀여움, 객관적 거리감	Shoot from a high angle looking down on the subject to make them feel vulnerable, small, or observed.	high angle shot, looking down, vulnerable subject, small, observed	wide shot, overhead, close-up for vulnerability	heroic power portrait, dominance shot	피사체가 작고 약해 보임	취약함, 위축, 관찰당함	의도 없이 쓰면 인물이 왜소해 보임	Normal	high-angle view, looking down, top angle	A small lost puppy sitting entirely alone in a giant, empty cardboard box, looking up with wide, innocent eyes.	Shoot from a high angle looking down on the subject to make them feel vulnerable, small, or observed.	high-angle shot, looking down at the subject, making them appear small or observed	약함, 위축, 통제당하는 느낌	의도 없이 쓰면 인물이 왜소해 보임	high-angle view, looking down	일치	아니오	원본 변수 정의와 같은 방향. 원본 컬럼은 유지하고 Gemini 값은 참고 컬럼에만 보존.
H03	카메라 높이	로우앵글	Low Angle	아래에서 위로 올려봄	높이/권위·위협 변수	권위, 위협, 히어로, 빌런, 웅장함, 파워 포즈	Shoot from a low angle looking up at the subject to create power, dominance, and dramatic presence.	low angle shot, looking up, powerful subject, dominance, dramatic presence	24mm lens, 35mm lens, full shot, cowboy shot	delicate vulnerable mood, accurate face beauty close-up	피사체가 크고 강해 보임	권력, 위압감, 영웅성	턱·코 강조, 과장된 체형	Normal	low-angle view, heroic angle, worm angle	A powerful superhero's dark cape billowing wildly in the wind as they stand tall atop a skyscraper looking down at a massive metropolis.	Shoot from a low angle looking up at the subject to create power, dominance, and dramatic presence.	low-angle shot, looking up at the subject, making them appear powerful, heroic, and dominant	권력, 위압감, 영웅성	턱/코 강조, 과장됨	low-angle view, heroic angle	일치	아니오	원본 변수 정의와 같은 방향. 원본 컬럼은 유지하고 Gemini 값은 참고 컬럼에만 보존.
H04	카메라 높이	오버헤드/버드아이	Overhead / Bird’s-Eye	머리 위 수직 또는 준수직	높이/배치·패턴 변수	침대샷, 음식, 범죄현장, 패턴, 군중 배열, 플랫레이	Use an overhead bird’s-eye view looking down from above, emphasizing layout, geometry, and visual pattern.	overhead shot, bird’s-eye view, top-down angle, layout, geometry	flat lay, group arrangement, product layout, wide lens	facial emotional close-up, heroic dominance	배치와 패턴이 선명해짐	객관성, 운명감, 정리된 인상	인물 감정이 멀어질 수 있음	Strong	top shot, top-down view, bird’s-eye, flat lay	An exquisitely arranged flat lay of a colorful Mediterranean breakfast feast spread out on a blue ceramic tiled table.	Use an overhead bird’s-eye view looking down from above, emphasizing layout, geometry, and visual pattern.	overhead bird's-eye view, top-down view looking straight down, emphasizing geometric layout and visual patterns	객관적, 운명적, 패턴 강조	인물 감정이 멀어질 수 있음	top shot, top-down view, bird’s-eye	일치	아니오	원본 변수 정의와 같은 방향. 원본 컬럼은 유지하고 Gemini 값은 참고 컬럼에만 보존.
H05	카메라 높이	그라운드레벨/웜즈아이	Ground-Level / Worm’s-Eye	바닥 가까이 또는 극단적 하부	높이/낯선 스케일 변수	추격, 신발, 건물, 괴물, 압도적 인물, 바닥 질감 강조	Place the camera near the ground for a worm’s-eye perspective, exaggerating height, scale, and tension.	ground-level shot, worm’s-eye view, near floor, exaggerated scale	low angle, wide lens, action scene, architecture	clean portrait, minimal distortion product shot	높이와 깊이가 과장됨	낯섦, 긴장, 거대함	구도가 지저분해지고 왜곡이 커짐	Strong	worm’s-eye view, floor-level shot, ground angle	The muddy sneakers of a determined runner sprinting directly past the camera on a wet forest trail, water droplets splashing upward.	Place the camera near the ground for a worm’s-eye perspective, exaggerating height, scale, and tension.	ground-level worm's-eye view, shot from the floor, exaggerating height, scale, and vertical depth	낯섦, 긴장, 거대함	구도가 지저분해지기 쉬움	worm’s-eye view, floor-level shot	일치	아니오	원본 변수 정의와 같은 방향. 원본 컬럼은 유지하고 Gemini 값은 참고 컬럼에만 보존.
H06	카메라 기울기	더치앵글	Dutch Angle / Canted Shot	수평선을 의도적으로 기울임	기울기/불안정 변수	불안, 혼란, 심리 붕괴, 위기, 스릴러, 몽환적 장면	Use a Dutch angle with a tilted horizon to create unease, instability, and psychological tension.	Dutch angle, tilted horizon, canted frame, unstable mood	close-up, low angle, thriller lighting, chaotic scene	calm luxury product shot, formal symmetry	수평 안정감이 무너짐	불안, 혼란, 비정상성	남용하면 촌스럽고 의도 과잉으로 보임	Strong	canted angle, tilted frame, oblique angle	A terrified man sprinting down a dimly lit, narrow neon corridor in a dystopian city, desperately chasing a fading shadow.	Use a Dutch angle with a tilted horizon to create unease, instability, and psychological tension.	Dutch angle, canted shot, tilted horizon, evoking unease and instability	불안, 혼란, 비정상성	남용하면 촌스러움	canted angle, tilted frame	일치	아니오	원본 변수 정의와 같은 방향. 원본 컬럼은 유지하고 Gemini 값은 참고 컬럼에만 보존.
O01	카메라 방향	정면 샷	Front-On Shot	피사체를 정면에서 봄	방향/직면 변수	포스터, 증명사진, 패션, 강한 응시, 대칭 구도	Frame the subject front-on, facing the camera directly, with a clear symmetrical composition and direct gaze.	front-on shot, direct gaze, symmetrical composition, facing camera	eye-level, medium close-up, full shot, centered composition	natural candid scene, hidden observer feeling	정면성과 대칭성이 강함	직설, 자신감, 아이코닉함	딱딱하거나 연출 티가 날 수 있음	Normal	straight-on shot, frontal view, direct-facing	An iconic fashion movie poster featuring a fierce model staring directly into the camera lens with absolute confidence, set against a stark pitch-black background.	Frame the subject front-on, facing the camera directly, with a clear symmetrical composition and direct gaze.	front-on shot, facing the camera directly, symmetrical composition, direct gaze	직설적, 강함, 아이코닉함	딱딱하거나 연출 티가 날 수 있음	straight-on shot, frontal view	일치	아니오	원본 변수 정의와 같은 방향. 원본 컬럼은 유지하고 Gemini 값은 참고 컬럼에만 보존.
O02	카메라 방향	쓰리쿼터 샷	Three-Quarter Shot	정면에서 30–45도 틀어 봄	방향/입체감 변수	인물, 광고, 캐릭터 소개, 얼굴 구조와 깊이감 표현	Use a three-quarter angle to show facial structure and depth, making the subject feel natural and dimensional.	three-quarter angle, natural face depth, dimensional portrait	35mm, 50mm, 85mm, medium close-up, portrait	strict symmetry, passport-style front view	얼굴과 몸에 입체감이 생김	자연스러움, 세련됨, 현실감	각도 지시가 약하면 정면으로 나올 수 있음	Subtle	3/4 view, three-quarter view, angled portrait	A professional corporate portrait of a businesswoman smiling warmly, showcasing her elegant navy blazer and sophisticated posture.	Use a three-quarter angle to show facial structure and depth, making the subject feel natural and dimensional.	three-quarter shot, 3/4 view, defining facial structure, adding depth and dimension	입체감, 자연스러운 미형	각도 지시가 애매하면 정면으로 나올 수 있음	3/4 view, three-quarter view	일치	아니오	원본 변수 정의와 같은 방향. 원본 컬럼은 유지하고 Gemini 값은 참고 컬럼에만 보존.
O03	카메라 방향	프로필/측면 샷	Profile / Side Shot	완전 측면	방향/실루엣 변수	실루엣, 대화 대치, 걷는 장면, 자동차, 방향성 강조	Use a profile side shot, showing the subject from the side with a clear silhouette and directional movement.	profile shot, side view, clear silhouette, directional movement	long shot, medium shot, backlight, silhouette	direct emotional eye contact, face identity clarity	윤곽선과 방향성이 강조됨	거리감, 관찰감, 그래픽한 인상	표정과 정체성 정보가 줄어듦	Normal	side profile, side view, profile angle	The sharp side profile silhouette of a contemplative man looking out at a crimson sunset over a completely calm ocean horizon.	Use a profile side shot, showing the subject from the side with a clear silhouette and directional movement.	profile side shot, full side view, sharp silhouette, clear directional movement	관찰감, 거리감, 그래픽한 선	표정 정보가 줄어듦	side profile, side view	일치	아니오	원본 변수 정의와 같은 방향. 원본 컬럼은 유지하고 Gemini 값은 참고 컬럼에만 보존.
O04	카메라 방향	후면 샷	Back Shot / Rear View	뒤에서 피사체를 봄	방향/미스터리·여운 변수	고독, 여행, 떠남, 미스터리, 목적지, 관찰자 시점	Frame the subject from behind, emphasizing mystery, solitude, direction, and the environment ahead.	back shot, rear view, subject from behind, solitude, mystery	wide shot, long shot, landscape, cinematic backlight	facial expression, beauty portrait, identity reveal	앞을 향한 방향성과 배경이 강조됨	고독, 여운, 궁금증, 여행감	얼굴 감정 전달 불가	Normal	rear view, from behind, back view	A lonely traveler carrying a worn leather backpack standing at the edge of a foggy mountain cliff, looking out over a vast sea of endless clouds.	Frame the subject from behind, emphasizing mystery, solitude, direction, and the environment ahead.	rear view shot, back view, framing the subject from behind, emphasizing mystery and the environment ahead	고독, 여운, 목적지 감각	얼굴 감정 전달 불가	rear view, from behind, back view	일치	아니오	원본 변수 정의와 같은 방향. 원본 컬럼은 유지하고 Gemini 값은 참고 컬럼에만 보존.
R01	관계/시점	오버더숄더	Over-the-Shoulder / OTS	어깨 너머 상대를 봄	관계/대화 방향 변수	대화, 갈등, 인터뷰, 관계성 있는 장면, 시선 교환	Use an over-the-shoulder shot, placing one character’s shoulder in the foreground while focusing on the other character.	over-the-shoulder shot, shoulder foreground, focus on other character, conversation	medium close-up, 50mm lens, dialogue scene, shallow depth	single-subject product shot, clean symmetrical portrait	앞·뒤 인물의 관계가 생김	대화감, 긴장, 관계성	어깨가 너무 크면 답답함	Normal	OTS shot, shoulder foreground, dialogue shot	A tense emotional confrontation between a gritty detective and a quiet suspect inside a dark, smoky interrogation room.	Use an over-the-shoulder shot, placing one character’s shoulder in the foreground while focusing on the other character.	over-the-shoulder shot, OTS, one character's shoulder blurred in the foreground, focusing sharply on the person opposite	관계성, 대화 방향, 긴장감	어깨가 너무 크면 답답함	OTS shot, shoulder foreground	일치	아니오	원본 변수 정의와 같은 방향. 원본 컬럼은 유지하고 Gemini 값은 참고 컬럼에만 보존.
R02	관계/시점	주관 시점	POV Shot	인물의 눈으로 보는 화면	시점/1인칭 몰입 변수	공포, 액션, 게임풍, 몰입형 장면, 체험형 광고	Show the scene from the character’s point of view, creating an immersive first-person perspective.	POV shot, first-person perspective, immersive view, subject’s eyes	wide lens, handheld feel, action scene, hands in frame	objective group scene, formal product catalog	시청자가 장면 안에 들어간 듯함	몰입, 긴장, 체험감	누구의 시점인지 불명확할 수 있음	Strong	first-person view, subjective camera, POV perspective	Sneaking cautiously through a spooky, abandoned haunted house with a single flashlight beam illuminating a dusty, antique grandfather clock ahead.	Show the scene from the character’s point of view, creating an immersive first-person perspective.	first-person POV shot, point-of-view, immersive subjective camera from the character's eyes	몰입감, 체험감, 긴장감	누구의 시점인지 불명확할 수 있음	first-person view, subjective camera	일치	아니오	원본 변수 정의와 같은 방향. 원본 컬럼은 유지하고 Gemini 값은 참고 컬럼에만 보존.
R03	관계/시점	투샷	Two-Shot	두 인물을 한 프레임에	관계/두 인물 균형 변수	로맨스, 논쟁, 버디물, 관계의 거리와 감정 온도 표현	Use a two-shot with both characters in the same frame, showing their relationship, distance, and emotional dynamic.	two-shot, two characters in frame, relationship distance, emotional dynamic	medium shot, wide shot, eye-level, OTS variation	single hero portrait, product-only detail shot	두 인물의 거리와 균형이 드러남	관계성, 긴장, 친밀도	한쪽 인물이 묻히거나 중심이 흐려질 수 있음	Normal	two person shot, paired composition, duo shot	A romantic young couple sharing a tender, quiet moment right under a blooming cherry blossom tree in a sun-drenched public park.	Use a two-shot with both characters in the same frame, showing their relationship, distance, and emotional dynamic.	two-shot, two person shot, both characters in the same frame, showing physical distance and dynamic	관계, 긴장, 친밀도 표현	한쪽 인물이 묻힐 수 있음	two person shot, paired composition	일치	아니오	원본 변수 정의와 같은 방향. 원본 컬럼은 유지하고 Gemini 값은 참고 컬럼에만 보존.
R04	관계/시점	그룹샷	Group Shot / Ensemble Shot	3명 이상을 한 프레임에	관계/집단 구성 변수	팀 소개, 가족, 회의, 군중, 권력 구도, 앙상블 장면	Use a group shot with multiple subjects arranged clearly in the frame, showing hierarchy, relationship, and collective mood.	group shot, multiple subjects, clear arrangement, hierarchy, collective mood	wide shot, full shot, eye-level, layered composition	single emotional close-up, minimal isolated subject	집단의 배열과 서열이 보임	소속감, 권력 구조, 분위기	시선 분산, 중심 피사체 약화	Normal	ensemble shot, group composition, team shot	A joyful multi-generational family gathering around a large rustic dining table for a festive holiday dinner, laughing together in harmony.	Use a group shot with multiple subjects arranged clearly in the frame, showing hierarchy, relationship, and collective mood.	group shot, ensemble shot, multiple subjects clearly arranged in the frame, showing hierarchy and collective mood	집단성, 서열, 분위기	시선 분산, 중심 피사체 약화	ensemble shot, group composition	일치	아니오	원본 변수 정의와 같은 방향. 원본 컬럼은 유지하고 Gemini 값은 참고 컬럼에만 보존.
